Generation	Bias	Standardized.fitness	Adjusted.fitness	Hits
29	false	19.0	0.05	70
30	false	19.0	0.05	70
31	false	19.0	0.05	70
32	false	19.0	0.05	70
33	false	19.0	0.05	70
34	false	19.0	0.05	70
35	false	18.0	0.05263158	71
36	false	18.0	0.05263158	71
37	false	18.0	0.05263158	71
38	false	18.0	0.05263158	71
39	false	18.0	0.05263158	71
40	false	18.0	0.05263158	71
41	false	18.0	0.05263158	71
42	false	18.0	0.05263158	71
43	false	18.0	0.05263158	71
44	false	18.0	0.05263158	71
45	false	18.0	0.05263158	71
46	false	18.0	0.05263158	71
47	false	18.0	0.05263158	71
48	false	18.0	0.05263158	71
49	false	18.0	0.05263158	71
50	false	18.0	0.05263158	71
0	true	43.0	0.022727273	46
1	true	36.0	0.027027028	53
2	true	36.0	0.027027028	53
3	true	36.0	0.027027028	53
4	true	31.0	0.03125	58
5	true	31.0	0.03125	58
6	true	29.0	0.033333335	60
7	true	29.0	0.033333335	60
8	true	29.0	0.033333335	60
9	true	27.0	0.035714287	62
10	true	27.0	0.035714287	62
11	true	27.0	0.035714287	62
12	true	27.0	0.035714287	62
13	true	27.0	0.035714287	62
14	true	25.0	0.03846154	64
15	true	25.0	0.03846154	64
16	true	25.0	0.03846154	64
17	true	25.0	0.03846154	64
18	true	22.0	0.04347826	67
19	true	22.0	0.04347826	67
20	true	22.0	0.04347826	67
21	true	10.0	0.09090909	79
22	true	10.0	0.09090909	79
23	true	10.0	0.09090909	79
24	true	8.0	0.11111111	81
25	true	8.0	0.11111111	81
26	true	8.0	0.11111111	81
27	true	5.0	0.16666667	84
28	true	5.0	0.16666667	84
29	true	5.0	0.16666667	84
30	true	5.0	0.16666667	84
31	true	5.0	0.16666667	84
32	true	5.0	0.16666667	84
33	true	5.0	0.16666667	84
34	true	5.0	0.16666667	84
35	true	5.0	0.16666667	84
36	true	5.0	0.16666667	84
37	true	5.0	0.16666667	84
38	true	4.0	0.2	85
39	true	4.0	0.2	85
40	true	4.0	0.2	85
41	true	3.0	0.25	86
42	true	3.0	0.25	86
43	true	3.0	0.25	86
44	true	3.0	0.25	86
45	true	3.0	0.25	86
46	true	3.0	0.25	86
47	true	3.0	0.25	86
48	true	3.0	0.25	86
49	true	3.0	0.25	86
50	true	3.0	0.25	86
0	false	43.0	0.022727273	46
1	false	43.0	0.022727273	46
2	false	39.0	0.025	50
3	false	43.0	0.022727273	46
4	false	39.0	0.025	50
5	false	35.0	0.027777778	54
6	false	35.0	0.027777778	54
7	false	35.0	0.027777778	54
8	false	30.0	0.032258064	59
9	false	30.0	0.032258064	59
10	false	30.0	0.032258064	59
11	false	30.0	0.032258064	59
12	false	29.0	0.033333335	60
13	false	29.0	0.033333335	60
14	false	29.0	0.033333335	60
15	false	29.0	0.033333335	60
16	false	29.0	0.033333335	60
17	false	29.0	0.033333335	60
18	false	29.0	0.033333335	60
19	false	29.0	0.033333335	60
20	false	29.0	0.033333335	60
21	false	29.0	0.033333335	60
22	false	29.0	0.033333335	60
23	false	29.0	0.033333335	60
24	false	29.0	0.033333335	60
25	false	29.0	0.033333335	60
26	false	29.0	0.033333335	60
27	false	29.0	0.033333335	60
28	false	29.0	0.033333335	60
29	false	29.0	0.033333335	60
30	false	29.0	0.033333335	60
31	false	29.0	0.033333335	60
32	false	29.0	0.033333335	60
33	false	29.0	0.033333335	60
34	false	29.0	0.033333335	60
35	false	29.0	0.033333335	60
36	false	29.0	0.033333335	60
37	false	29.0	0.033333335	60
38	false	29.0	0.033333335	60
39	false	29.0	0.033333335	60
40	false	29.0	0.033333335	60
41	false	29.0	0.033333335	60
42	false	29.0	0.033333335	60
43	false	29.0	0.033333335	60
44	false	29.0	0.033333335	60
45	false	29.0	0.033333335	60
46	false	29.0	0.033333335	60
47	false	29.0	0.033333335	60
48	false	29.0	0.033333335	60
49	false	29.0	0.033333335	60
50	false	29.0	0.033333335	60
0	true	49.0	0.02	40
1	true	49.0	0.02	40
2	true	42.0	0.023255814	47
3	true	39.0	0.025	50
4	true	41.0	0.023809524	48
5	true	28.0	0.03448276	61
6	true	28.0	0.03448276	61
7	true	28.0	0.03448276	61
8	true	28.0	0.03448276	61
9	true	28.0	0.03448276	61
10	true	26.0	0.037037037	63
11	true	24.0	0.04	65
12	true	24.0	0.04	65
13	true	24.0	0.04	65
14	true	23.0	0.041666668	66
15	true	23.0	0.041666668	66
16	true	23.0	0.041666668	66
17	true	23.0	0.041666668	66
18	true	23.0	0.041666668	66
19	true	21.0	0.045454547	68
20	true	21.0	0.045454547	68
21	true	21.0	0.045454547	68
22	true	21.0	0.045454547	68
23	true	21.0	0.045454547	68
24	true	21.0	0.045454547	68
25	true	21.0	0.045454547	68
26	true	21.0	0.045454547	68
27	true	21.0	0.045454547	68
28	true	21.0	0.045454547	68
29	true	21.0	0.045454547	68
30	true	21.0	0.045454547	68
31	true	21.0	0.045454547	68
32	true	21.0	0.045454547	68
33	true	21.0	0.045454547	68
34	true	21.0	0.045454547	68
35	true	21.0	0.045454547	68
36	true	21.0	0.045454547	68
37	true	21.0	0.045454547	68
38	true	21.0	0.045454547	68
39	true	21.0	0.045454547	68
40	true	21.0	0.045454547	68
41	true	21.0	0.045454547	68
42	true	21.0	0.045454547	68
43	true	21.0	0.045454547	68
44	true	21.0	0.045454547	68
45	true	21.0	0.045454547	68
46	true	21.0	0.045454547	68
47	true	21.0	0.045454547	68
48	true	21.0	0.045454547	68
49	true	21.0	0.045454547	68
50	true	21.0	0.045454547	68
0	false	56.0	0.01754386	33
1	false	52.0	0.018867925	37
2	false	43.0	0.022727273	46
3	false	46.0	0.021276595	43
4	false	45.0	0.02173913	44
5	false	43.0	0.022727273	46
6	false	42.0	0.023255814	47
7	false	41.0	0.023809524	48
8	false	41.0	0.023809524	48
9	false	36.0	0.027027028	53
10	false	36.0	0.027027028	53
11	false	36.0	0.027027028	53
12	false	25.0	0.03846154	64
13	false	25.0	0.03846154	64
14	false	25.0	0.03846154	64
15	false	25.0	0.03846154	64
16	false	10.0	0.09090909	79
17	false	10.0	0.09090909	79
18	false	10.0	0.09090909	79
19	false	9.0	0.1	80
20	false	8.0	0.11111111	81
21	false	8.0	0.11111111	81
22	false	8.0	0.11111111	81
23	false	5.0	0.16666667	84
24	false	5.0	0.16666667	84
25	false	4.0	0.2	85
26	false	4.0	0.2	85
27	false	4.0	0.2	85
28	false	3.0	0.25	86
29	false	3.0	0.25	86
30	false	2.0	0.33333334	87
31	false	2.0	0.33333334	87
32	false	2.0	0.33333334	87
33	false	2.0	0.33333334	87
34	false	2.0	0.33333334	87
35	false	2.0	0.33333334	87
36	false	2.0	0.33333334	87
37	false	2.0	0.33333334	87
38	false	2.0	0.33333334	87
39	false	2.0	0.33333334	87
40	false	2.0	0.33333334	87
41	false	2.0	0.33333334	87
42	false	2.0	0.33333334	87
43	false	2.0	0.33333334	87
44	false	2.0	0.33333334	87
45	false	2.0	0.33333334	87
46	false	2.0	0.33333334	87
47	false	2.0	0.33333334	87
48	false	2.0	0.33333334	87
49	false	2.0	0.33333334	87
50	false	2.0	0.33333334	87
0	true	53.0	0.018518519	36
1	true	48.0	0.020408163	41
2	true	47.0	0.020833334	42
3	true	45.0	0.02173913	44
4	true	32.0	0.030303031	57
5	true	30.0	0.032258064	59
6	true	30.0	0.032258064	59
7	true	30.0	0.032258064	59
8	true	30.0	0.032258064	59
9	true	27.0	0.035714287	62
10	true	27.0	0.035714287	62
11	true	27.0	0.035714287	62
12	true	27.0	0.035714287	62
13	true	27.0	0.035714287	62
14	true	27.0	0.035714287	62
15	true	27.0	0.035714287	62
16	true	26.0	0.037037037	63
17	true	26.0	0.037037037	63
18	true	26.0	0.037037037	63
19	true	26.0	0.037037037	63
20	true	26.0	0.037037037	63
21	true	26.0	0.037037037	63
22	true	26.0	0.037037037	63
23	true	26.0	0.037037037	63
24	true	26.0	0.037037037	63
25	true	26.0	0.037037037	63
26	true	26.0	0.037037037	63
27	true	26.0	0.037037037	63
28	true	26.0	0.037037037	63
29	true	26.0	0.037037037	63
30	true	26.0	0.037037037	63
31	true	26.0	0.037037037	63
32	true	26.0	0.037037037	63
33	true	26.0	0.037037037	63
34	true	26.0	0.037037037	63
35	true	26.0	0.037037037	63
36	true	26.0	0.037037037	63
37	true	26.0	0.037037037	63
38	true	26.0	0.037037037	63
39	true	26.0	0.037037037	63
40	true	26.0	0.037037037	63
41	true	26.0	0.037037037	63
42	true	26.0	0.037037037	63
43	true	26.0	0.037037037	63
44	true	26.0	0.037037037	63
45	true	26.0	0.037037037	63
46	true	26.0	0.037037037	63
47	true	26.0	0.037037037	63
48	true	26.0	0.037037037	63
49	true	26.0	0.037037037	63
50	true	26.0	0.037037037	63
0	false	53.0	0.018518519	36
1	false	56.0	0.01754386	33
2	false	39.0	0.025	50
3	false	39.0	0.025	50
4	false	39.0	0.025	50
5	false	34.0	0.028571429	55
6	false	22.0	0.04347826	67
7	false	22.0	0.04347826	67
8	false	22.0	0.04347826	67
9	false	22.0	0.04347826	67
10	false	22.0	0.04347826	67
11	false	22.0	0.04347826	67
12	false	21.0	0.045454547	68
13	false	21.0	0.045454547	68
14	false	21.0	0.045454547	68
15	false	21.0	0.045454547	68
16	false	21.0	0.045454547	68
17	false	21.0	0.045454547	68
18	false	20.0	0.04761905	69
19	false	20.0	0.04761905	69
20	false	20.0	0.04761905	69
21	false	16.0	0.05882353	73
22	false	16.0	0.05882353	73
23	false	16.0	0.05882353	73
24	false	10.0	0.09090909	79
25	false	10.0	0.09090909	79
26	false	10.0	0.09090909	79
27	false	10.0	0.09090909	79
28	false	10.0	0.09090909	79
29	false	10.0	0.09090909	79
30	false	10.0	0.09090909	79
31	false	10.0	0.09090909	79
32	false	10.0	0.09090909	79
33	false	10.0	0.09090909	79
34	false	10.0	0.09090909	79
35	false	10.0	0.09090909	79
36	false	10.0	0.09090909	79
37	false	10.0	0.09090909	79
38	false	10.0	0.09090909	79
39	false	10.0	0.09090909	79
40	false	10.0	0.09090909	79
41	false	10.0	0.09090909	79
42	false	10.0	0.09090909	79
43	false	10.0	0.09090909	79
44	false	10.0	0.09090909	79
45	false	10.0	0.09090909	79
46	false	10.0	0.09090909	79
47	false	10.0	0.09090909	79
48	false	10.0	0.09090909	79
49	false	10.0	0.09090909	79
50	false	10.0	0.09090909	79
0	true	49.0	0.02	40
1	true	41.0	0.023809524	48
2	true	41.0	0.023809524	48
3	true	41.0	0.023809524	48
4	true	36.0	0.027027028	53
5	true	30.0	0.032258064	59
6	true	30.0	0.032258064	59
7	true	30.0	0.032258064	59
8	true	30.0	0.032258064	59
9	true	30.0	0.032258064	59
10	true	24.0	0.04	65
11	true	24.0	0.04	65
12	true	30.0	0.032258064	59
13	true	30.0	0.032258064	59
14	true	30.0	0.032258064	59
15	true	30.0	0.032258064	59
16	true	30.0	0.032258064	59
17	true	30.0	0.032258064	59
18	true	30.0	0.032258064	59
19	true	30.0	0.032258064	59
20	true	30.0	0.032258064	59
21	true	27.0	0.035714287	62
22	true	27.0	0.035714287	62
23	true	24.0	0.04	65
24	true	20.0	0.04761905	69
25	true	18.0	0.05263158	71
26	true	18.0	0.05263158	71
27	true	18.0	0.05263158	71
28	true	18.0	0.05263158	71
29	true	17.0	0.055555556	72
30	true	16.0	0.05882353	73
31	true	16.0	0.05882353	73
32	true	16.0	0.05882353	73
33	true	16.0	0.05882353	73
34	true	16.0	0.05882353	73
35	true	13.0	0.071428575	76
36	true	13.0	0.071428575	76
37	true	13.0	0.071428575	76
38	true	13.0	0.071428575	76
39	true	13.0	0.071428575	76
40	true	13.0	0.071428575	76
41	true	13.0	0.071428575	76
42	true	9.0	0.1	80
43	true	9.0	0.1	80
44	true	9.0	0.1	80
45	true	9.0	0.1	80
46	true	9.0	0.1	80
47	true	9.0	0.1	80
48	true	9.0	0.1	80
49	true	9.0	0.1	80
50	true	9.0	0.1	80
0	false	56.0	0.01754386	33
1	false	52.0	0.018867925	37
2	false	52.0	0.018867925	37
3	false	42.0	0.023255814	47
4	false	39.0	0.025	50
5	false	39.0	0.025	50
6	false	36.0	0.027027028	53
7	false	34.0	0.028571429	55
8	false	34.0	0.028571429	55
9	false	27.0	0.035714287	62
10	false	27.0	0.035714287	62
11	false	23.0	0.041666668	66
12	false	20.0	0.04761905	69
13	false	13.0	0.071428575	76
14	false	13.0	0.071428575	76
15	false	13.0	0.071428575	76
16	false	13.0	0.071428575	76
17	false	13.0	0.071428575	76
18	false	13.0	0.071428575	76
19	false	11.0	0.083333336	78
20	false	5.0	0.16666667	84
21	false	5.0	0.16666667	84
22	false	5.0	0.16666667	84
23	false	5.0	0.16666667	84
24	false	5.0	0.16666667	84
25	false	3.0	0.25	86
26	false	3.0	0.25	86
27	false	3.0	0.25	86
28	false	3.0	0.25	86
29	false	1.0	0.5	88
30	false	0.0	1.0	89
0	true	31.0	0.03125	58
1	true	24.0	0.04	65
2	true	31.0	0.03125	58
3	true	31.0	0.03125	58
4	true	26.0	0.037037037	63
5	true	23.0	0.041666668	66
6	true	20.0	0.04761905	69
7	true	20.0	0.04761905	69
8	true	20.0	0.04761905	69
9	true	20.0	0.04761905	69
10	true	20.0	0.04761905	69
11	true	18.0	0.05263158	71
12	true	13.0	0.071428575	76
13	true	13.0	0.071428575	76
14	true	13.0	0.071428575	76
15	true	11.0	0.083333336	78
16	true	11.0	0.083333336	78
17	true	11.0	0.083333336	78
18	true	11.0	0.083333336	78
19	true	11.0	0.083333336	78
20	true	11.0	0.083333336	78
21	true	9.0	0.1	80
22	true	9.0	0.1	80
23	true	9.0	0.1	80
24	true	9.0	0.1	80
25	true	5.0	0.16666667	84
26	true	5.0	0.16666667	84
27	true	5.0	0.16666667	84
28	true	5.0	0.16666667	84
29	true	2.0	0.33333334	87
30	true	2.0	0.33333334	87
31	true	2.0	0.33333334	87
32	true	1.0	0.5	88
33	true	1.0	0.5	88
34	true	1.0	0.5	88
35	true	0.0	1.0	89
0	false	41.0	0.023809524	48
1	false	41.0	0.023809524	48
2	false	36.0	0.027027028	53
3	false	36.0	0.027027028	53
4	false	34.0	0.028571429	55
5	false	27.0	0.035714287	62
6	false	27.0	0.035714287	62
7	false	27.0	0.035714287	62
8	false	27.0	0.035714287	62
9	false	27.0	0.035714287	62
10	false	27.0	0.035714287	62
11	false	27.0	0.035714287	62
12	false	27.0	0.035714287	62
13	false	24.0	0.04	65
14	false	24.0	0.04	65
15	false	27.0	0.035714287	62
16	false	27.0	0.035714287	62
17	false	24.0	0.04	65
18	false	24.0	0.04	65
19	false	24.0	0.04	65
20	false	24.0	0.04	65
21	false	24.0	0.04	65
22	false	24.0	0.04	65
23	false	24.0	0.04	65
24	false	24.0	0.04	65
25	false	24.0	0.04	65
26	false	24.0	0.04	65
27	false	24.0	0.04	65
28	false	24.0	0.04	65
29	false	17.0	0.055555556	72
30	false	13.0	0.071428575	76
31	false	13.0	0.071428575	76
32	false	17.0	0.055555556	72
33	false	17.0	0.055555556	72
34	false	13.0	0.071428575	76
35	false	9.0	0.1	80
36	false	9.0	0.1	80
37	false	9.0	0.1	80
38	false	9.0	0.1	80
39	false	9.0	0.1	80
40	false	9.0	0.1	80
41	false	9.0	0.1	80
42	false	9.0	0.1	80
43	false	9.0	0.1	80
44	false	9.0	0.1	80
45	false	9.0	0.1	80
46	false	9.0	0.1	80
47	false	9.0	0.1	80
48	false	9.0	0.1	80
49	false	9.0	0.1	80
50	false	9.0	0.1	80
0	true	43.0	0.022727273	46
1	true	43.0	0.022727273	46
2	true	44.0	0.022222223	45
3	true	33.0	0.029411765	56
4	true	33.0	0.029411765	56
5	true	33.0	0.029411765	56
6	true	33.0	0.029411765	56
7	true	33.0	0.029411765	56
8	true	33.0	0.029411765	56
9	true	31.0	0.03125	58
10	true	31.0	0.03125	58
11	true	31.0	0.03125	58
12	true	31.0	0.03125	58
13	true	31.0	0.03125	58
14	true	31.0	0.03125	58
15	true	30.0	0.032258064	59
16	true	30.0	0.032258064	59
17	true	30.0	0.032258064	59
18	true	30.0	0.032258064	59
19	true	30.0	0.032258064	59
20	true	26.0	0.037037037	63
21	true	25.0	0.03846154	64
22	true	25.0	0.03846154	64
23	true	25.0	0.03846154	64
24	true	25.0	0.03846154	64
25	true	25.0	0.03846154	64
26	true	25.0	0.03846154	64
27	true	25.0	0.03846154	64
28	true	25.0	0.03846154	64
29	true	25.0	0.03846154	64
30	true	25.0	0.03846154	64
31	true	25.0	0.03846154	64
32	true	25.0	0.03846154	64
33	true	25.0	0.03846154	64
34	true	25.0	0.03846154	64
35	true	25.0	0.03846154	64
36	true	25.0	0.03846154	64
37	true	25.0	0.03846154	64
38	true	25.0	0.03846154	64
39	true	25.0	0.03846154	64
40	true	25.0	0.03846154	64
41	true	25.0	0.03846154	64
42	true	25.0	0.03846154	64
43	true	25.0	0.03846154	64
44	true	25.0	0.03846154	64
45	true	25.0	0.03846154	64
