Use.bias Bias Pop.size Elite.prop Tourny.size Standardized.fitness Adjusted.fitness Hits
false 1.000000 10240 0.010000 3 15.111602 0.062067073 212
false 1.000000 10240 0.010000 5 12.463372 0.0742756 464
false 1.000000 10240 0.010000 7 14.996962 0.06251187 292
false 1.000000 1024 0.010000 2 38.93726 0.025039274 196
false 1.000000 1024 0.010000 3 49.08744 0.019965084 160
false 1.000000 1024 0.010000 5 20.071163 0.047458224 292
false 1.000000 1024 0.010000 7 56.900623 0.017270971 104
true 0.000000 10240 0.000000 2 34.84074 0.02790121 120
true 0.000000 10240 0.000000 3 10.766222 0.08498905 308
true 0.000000 10240 0.000000 5 8.028301 0.110762805 448
true 0.000000 10240 0.000000 7 6.1779914 0.13931474 472
true 0.000000 1024 0.000000 2 52.05476 0.01884845 4
true 0.000000 1024 0.000000 3 24.22017 0.039650805 100
true 0.000000 1024 0.000000 5 20.017685 0.04757898 136
true 0.000000 1024 0.000000 7 14.266082 0.06550469 348
true 0.000000 10240 0.010000 2 17.250626 0.054792643 192
true 0.000000 10240 0.010000 3 5.171027 0.16204758 476
true 0.000000 10240 0.010000 5 14.981202 0.062573515 356
true 0.000000 10240 0.010000 7 12.170333 0.075928226 372
true 0.000000 1024 0.010000 2 35.48564 0.027408043 108
true 0.000000 1024 0.010000 3 10.320663 0.08833405 372
true 0.000000 1024 0.010000 5 39.929733 0.024432117 300
true 0.000000 1024 0.010000 7 17.30274 0.054636627 364
true 0.250000 10240 0.000000 2 26.830315 0.03593204 68
true 0.250000 10240 0.000000 3 14.0726385 0.066345386 208
true 0.250000 10240 0.000000 5 17.498053 0.054059744 260
true 0.250000 10240 0.000000 7 14.466984 0.06465384 208
true 0.250000 1024 0.000000 2 24.727877 0.038868345 176
true 0.250000 1024 0.000000 3 31.116447 0.031136693 64
true 0.250000 1024 0.000000 5 41.434868 0.023565527 80
true 0.250000 1024 0.000000 7 9.389544 0.096250616 316
true 0.250000 10240 0.010000 2 13.557607 0.06869261 372
true 0.250000 10240 0.010000 3 6.818438 0.12790279 448
true 0.250000 10240 0.010000 5 9.3469095 0.09664722 284
true 0.250000 10240 0.010000 7 12.0318575 0.076735035 200
true 0.250000 1024 0.010000 2 23.520834 0.040781647 148
true 0.250000 1024 0.010000 3 26.24211 0.036707878 164
true 0.250000 1024 0.010000 5 27.977463 0.034509577 168
