Generation	Bias	Standardized.fitness	Adjusted.fitness	Hits
30	false	8.257111	0.10802507	10
31	false	8.256483	0.10803239	10
32	false	8.239867	0.108226664	11
33	false	8.226926	0.108378455	8
34	false	8.226926	0.108378455	8
35	false	8.204211	0.10864592	9
36	false	8.204211	0.10864592	9
37	false	8.199886	0.108697	10
38	false	8.17838	0.10895169	9
39	false	8.013276	0.11094745	3
40	false	7.8763275	0.11265921	3
41	false	6.117426	0.14050023	7
42	false	6.117426	0.14050023	7
43	false	6.117426	0.14050023	7
44	false	6.067388	0.14149499	2
45	false	5.9983597	0.14289063	2
46	false	5.6950183	0.14936478	4
47	false	5.6950183	0.14936478	4
48	false	4.6307054	0.17759764	5
49	false	4.6307054	0.17759764	5
50	false	4.6307054	0.17759764	5
0	false	24.459246	0.039278463	1
1	false	24.649513	0.038987096	0
2	false	24.649513	0.038987096	0
3	false	23.40907	0.04096838	1
4	false	23.40907	0.04096838	1
5	false	22.904285	0.0418335	3
6	false	22.822498	0.041977126	0
7	false	21.210602	0.045023542	1
8	false	21.210602	0.045023542	1
9	false	20.47557	0.046564538	1
10	false	19.880192	0.04789228	1
11	false	17.843979	0.05306735	1
12	false	15.681831	0.059945457	1
13	false	15.681831	0.059945457	1
14	false	14.589848	0.064144306	3
15	false	13.683798	0.06810227	0
16	false	13.683798	0.06810227	0
17	false	12.585621	0.073607236	1
18	false	11.629887	0.079177275	3
19	false	11.80652	0.07808522	1
20	false	10.8866415	0.08412805	3
21	false	10.68419	0.085585736	7
22	false	9.78313	0.09273745	5
23	false	9.78313	0.09273745	5
24	false	9.78313	0.09273745	5
25	false	9.78313	0.09273745	5
26	false	9.28783	0.09720223	7
27	false	9.277714	0.09729791	5
28	false	9.277714	0.09729791	5
29	false	8.628446	0.103858925	8
30	false	8.628446	0.103858925	8
31	false	8.628446	0.103858925	8
32	false	8.628446	0.103858925	8
33	false	8.316223	0.107339635	8
34	false	7.975872	0.11140979	5
35	false	7.975872	0.11140979	5
36	false	7.975872	0.11140979	5
37	false	7.975872	0.11140979	5
38	false	7.975872	0.11140979	5
39	false	7.9754806	0.11141464	8
40	false	7.956022	0.11165671	5
41	false	7.956022	0.11165671	5
42	false	7.94241	0.11182668	6
43	false	7.94241	0.11182668	6
44	false	7.94241	0.11182668	6
45	false	7.94241	0.11182668	6
46	false	7.877835	0.11264008	6
47	false	7.7420583	0.114389546	6
48	false	7.7420583	0.114389546	6
49	false	7.695438	0.115002826	6
50	false	7.5717096	0.11666284	7
0	false	25.564678	0.037643973	1
1	false	25.564678	0.037643973	1
2	false	25.564678	0.037643973	1
3	false	23.657118	0.04055624	1
4	false	23.657118	0.04055624	1
5	false	24.344765	0.03945588	0
6	false	22.706783	0.04218202	1
7	false	20.581406	0.046336185	1
8	false	20.541897	0.046421167	2
9	false	20.34365	0.04685234	3
10	false	20.176315	0.04722257	2
11	false	15.720711	0.05980607	1
12	false	13.349271	0.06968995	3
13	false	13.335626	0.069756284	2
14	false	11.564935	0.079586565	6
15	false	11.154023	0.08227728	4
16	false	11.110052	0.08257603	4
17	false	11.075296	0.0828137	5
18	false	10.309666	0.088419944	2
19	false	10.309666	0.088419944	2
20	false	9.827544	0.09235705	12
21	false	9.827544	0.09235705	12
22	false	9.827544	0.09235705	12
23	false	9.618993	0.09417089	1
24	false	9.358535	0.09653875	2
25	false	9.019464	0.09980574	1
26	false	7.808088	0.113532014	1
27	false	7.808088	0.113532014	1
28	false	7.808088	0.113532014	1
29	false	6.9868984	0.12520505	5
30	false	6.8205156	0.1278688	6
31	false	6.8205156	0.1278688	6
32	false	6.8075204	0.12808163	5
33	false	6.7376904	0.12923753	6
34	false	6.573845	0.13203333	15
35	false	6.3999057	0.13513686	5
36	false	6.347735	0.13609636	5
37	false	6.1911683	0.13905947	6
38	false	6.036307	0.14212	6
39	false	5.8310113	0.14639121	7
40	false	5.7594466	0.1479411	7
41	false	5.6989083	0.14927806	5
42	false	5.697644	0.14930622	6
43	false	5.673567	0.1498449	6
44	false	5.6432576	0.15052857	5
45	false	5.6409044	0.1505819	7
46	false	5.471668	0.15451968	6
47	false	5.4655685	0.15466544	6
